Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
2412185TEW2640,2024-12-18 12:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 02,55000.00,44000.00,1,44000.00,Hoàn thành,0
2412185TEW2640,2024-12-18 12:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Sài Gòn 02,55000.00,44000.00,1,44000.00,Hoàn thành,0
2412185TEW2640,2024-12-18 12:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng,55000.00,44000.00,1,44000.00,Hoàn thành,0
2412185TEW2640,2024-12-18 12:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Hội An,55000.00,44000.00,1,44000.00,Hoàn thành,0
2412185TEW2640,2024-12-18 12:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 02,55000.00,44000.00,1,44000.00,Hoàn thành,0
2412186TM0CRX8,2024-12-18 22:25,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam 01,55000.00,42000.00,2,84000.00,Hoàn thành,0
2412186TM0CRX8,2024-12-18 22:25,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam 03,55000.00,42000.00,2,84000.00,Hoàn thành,0
2412197BEAKSTW,2024-12-19 03:26,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,30000.00,1,30000.00,Đã hủy,0
2412197BEAKSTW,2024-12-19 03:26,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Xích Lô 02,22000.00,19000.00,1,19000.00,Đã hủy,0
2412197BEAKSTW,2024-12-19 03:26,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ HN,22000.00,19000.00,2,38000.00,Đã hủy,0
2412197BEAKSTW,2024-12-19 03:26,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Lăng Bác,22000.00,19000.00,3,57000.00,Đã hủy,0
2412197BEAKSTW,2024-12-19 03:26,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Hồ Hoàn Kiếm,22000.00,19000.00,1,19000.00,Đã hủy,0
2412197BMA9VN3,2024-12-19 03:30,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,30000.00,1,30000.00,Đã hủy,0
2412197BMA9VN3,2024-12-19 03:30,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Xích Lô 02,22000.00,19000.00,1,19000.00,Đã hủy,0
2412197BMA9VN3,2024-12-19 03:30,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ HN,22000.00,19000.00,1,19000.00,Đã hủy,0
2412197BMA9VN3,2024-12-19 03:30,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Lăng Bác,22000.00,19000.00,4,76000.00,Đã hủy,0
2412197BMA9VN3,2024-12-19 03:30,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Hồ Hoàn Kiếm,22000.00,19000.00,1,19000.00,Đã hủy,0
2412209GKR1B1C,2024-12-20 00:04,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,30000.00,1,30000.00,Hoàn thành,0
2412209GKR1B1C,2024-12-20 00:04,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Xích Lô 02,22000.00,19000.00,1,19000.00,Hoàn thành,0
2412209GKR1B1C,2024-12-20 00:04,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ HN,22000.00,19000.00,1,19000.00,Hoàn thành,0
2412209GKR1B1C,2024-12-20 00:04,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Lăng Bác,22000.00,19000.00,4,76000.00,Hoàn thành,0
2412209GKR1B1C,2024-12-20 00:04,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Hồ Hoàn Kiếm,22000.00,19000.00,1,19000.00,Hoàn thành,0
241220BNYHGXAQ,2024-12-20 20:46,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Vietnam 01,35000.00,30000.00,2,60000.00,Hoàn thành,0
241220BNYHGXAQ,2024-12-20 20:46,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Dâu Rể 01,35000.00,30000.00,2,60000.00,Hoàn thành,0
241220BNYHGXAQ,2024-12-20 20:46,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Vietnam 02,35000.00,30000.00,2,60000.00,Hoàn thành,0
241220BVVTJ3PD,2024-12-20 22:49,,,Mèo chiêu tài - Mèo năng lượng - Mèo ngoắc tay xe hơi,Mèo chiêu tài trắng,85000.00,55000.00,1,55000.00,Hoàn thành,0
241221CP5YRSQB,2024-12-21 06:22,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Sài Gòn 01,55000.00,44000.00,1,44000.00,Hoàn thành,0
241221CP5YRSQB,2024-12-21 06:22,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Sài Gòn 02,55000.00,44000.00,1,44000.00,Hoàn thành,0
241221D24F80UM,2024-12-21 09:56,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bún Đậu,35000.00,30000.00,1,30000.00,Đã hủy,0
241221D24F80UM,2024-12-21 09:56,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 01,35000.00,30000.00,1,30000.00,Đã hủy,0
241221D24F80UM,2024-12-21 09:56,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,30000.00,1,30000.00,Đã hủy,0
241221E33YF0E5,2024-12-21 19:46,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam 02,55000.00,42000.00,5,210000.00,Hoàn thành,0
241221E33YF0E5,2024-12-21 19:46,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam 03,55000.00,42000.00,7,294000.00,Hoàn thành,0
241222EGRRJC8P,2024-12-21 23:50,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 02,55000.00,42000.00,1,42000.00,Hoàn thành,0
241222FS7985EG,2024-12-22 11:54,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái 04,22000.00,19000.00,1,19000.00,Hoàn thành,0
241222FS7985EG,2024-12-22 11:54,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái 02,22000.00,19000.00,1,19000.00,Hoàn thành,0
241222FS7985EG,2024-12-22 11:54,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái 03,22000.00,19000.00,1,19000.00,Hoàn thành,0
241222FS7985EG,2024-12-22 11:54,,,"Móc Khoá Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",Móc Khóa Nón Lá,11500.00,10000.00,6,60000.00,Hoàn thành,0
241222GEF6ENCA,2024-12-22 18:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GEF6ENCA,2024-12-22 18:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bún Đậu,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GEF6ENCA,2024-12-22 18:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GQDR0YET,2024-12-22 20:55,,,Mèo chiêu tài - Mèo năng lượng - Mèo ngoắc tay xe hơi,Mèo chiêu tài trắng,85000.00,58000.00,1,58000.00,Đã hủy,0
241222GWGWJG25,2024-12-22 22:44,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GWGWJG25,2024-12-22 22:44,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 01,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GWGWJG25,2024-12-22 22:44,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Gỏi Cuốn,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GWGWJG25,2024-12-22 22:44,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Tét,35000.00,30000.00,1,30000.00,Hoàn thành,0
241222GWGWJG25,2024-12-22 22:44,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,30000.00,1,30000.00,Hoàn thành,0
241224NGDGTTKC,2024-12-24 18:33,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Áo Dài-Trắng,40000.00,32000.00,1,32000.00,Hoàn thành,0
241224NGDGTTKC,2024-12-24 18:33,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Áo Dài-Xanh Ngọc,40000.00,32000.00,1,32000.00,Hoàn thành,0
